Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Cluster
1,56,Male,Blouse,Accessories,58.12,New York,L,Green,Fall,1.4,Yes,Standard,No,Yes,45,Venmo,Bi-Weekly,0
2,69,Male,Dress,Outerwear,371.12,Texas,L,Green,Summer,4.6,No,Standard,Yes,Yes,39,Venmo,Monthly,5
3,46,Male,Sandals,Accessories,109.96,Texas,XL,Green,Summer,4.7,No,Standard,Yes,Yes,13,PayPal,Annually,5
4,32,Female,Sneakers,Footwear,431.92,California,L,White,Spring,4.9,No,Free,Yes,Yes,43,Debit Card,Weekly,7
5,60,Male,Sandals,Clothing,413.15,New York,L,Green,Fall,4.5,Yes,Standard,No,No,41,Venmo,Quarterly,5
6,25,Male,Jacket,Accessories,279.58,New York,L,Red,Summer,1.7,No,Express,No,Yes,29,Venmo,Quarterly,3
7,38,Male,Sneakers,Accessories,360.92,Illinois,L,Blue,Winter,1.2,Yes,Standard,No,No,25,Debit Card,Quarterly,3
8,56,Female,Shirt,Accessories,170.89,Texas,M,White,Summer,3.3,Yes,Express,No,Yes,44,Credit Card,Annually,5
9,36,Female,Dress,Accessories,246.16,New York,L,Blue,Spring,4.7,Yes,Standard,No,Yes,28,Venmo,Annually,5
10,40,Male,Shirt,Clothing,414.39,New York,XL,Green,Spring,1.7,Yes,Free,Yes,No,18,Credit Card,Bi-Weekly,3
11,28,Male,Sandals,Clothing,240.45,Florida,XL,White,Fall,1.0,Yes,Next Day Air,No,Yes,46,Venmo,Bi-Weekly,3
12,28,Male,Sandals,Footwear,191.74,Florida,XL,Black,Spring,4.2,No,Standard,No,Yes,7,Cash,Bi-Weekly,7
13,41,Male,Dress,Clothing,257.22,New York,S,Red,Summer,1.3,No,Standard,Yes,No,22,PayPal,Quarterly,3
14,53,Female,Sandals,Accessories,417.56,Illinois,M,Green,Summer,2.7,Yes,Free,No,No,41,Venmo,Annually,0
15,57,Female,Shirt,Footwear,180.9,New York,L,Green,Summer,3.7,No,Standard,Yes,Yes,34,Cash,Quarterly,5
16,41,Female,Sneakers,Footwear,103.41,California,S,Red,Summer,1.9,No,Express,No,Yes,30,Debit Card,Bi-Weekly,3
17,20,Female,Sneakers,Footwear,361.77,Texas,L,Red,Fall,1.3,Yes,Standard,Yes,Yes,34,Cash,Annually,3
18,39,Male,Blouse,Accessories,416.47,Illinois,S,Black,Winter,4.1,Yes,Standard,Yes,No,31,Debit Card,Monthly,7
